fips,state_alpha,countyname,areaname,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
12093,NA,Okeechobee County,NA,1025,1032,1346,1650,1782
12095,NA,Orange County,NA,1650,1731,1972,2476,2924
12097,NA,Osceola County,NA,1650,1731,1972,2476,2924
12099,NA,Palm Beach County,NA,1788,1901,2254,2920,3388
12101,NA,Pasco County,NA,1593,1696,1977,2527,3077
12103,NA,Pinellas County,NA,1593,1696,1977,2527,3077
12105,NA,Polk County,NA,1226,1230,1497,2023,2511
12107,NA,Putnam County,NA,874,880,1155,1452,1529
12109,NA,St. Johns County,NA,1355,1382,1658,2043,2561
12111,NA,St. Lucie County,NA,1455,1467,1757,2421,2579
12113,NA,Santa Rosa County,NA,1112,1257,1471,1952,2380
12115,NA,Sarasota County,NA,1418,1686,1958,2537,3027
12117,NA,Seminole County,NA,1650,1731,1972,2476,2924
12119,NA,Sumter County,NA,1076,1139,1328,1655,1937
12121,NA,Suwannee County,NA,967,1013,1110,1484,1573
12123,NA,Taylor County,NA,887,908,1018,1343,1386
12125,NA,Union County,NA,857,863,1132,1421,1499
12127,NA,Volusia County,NA,1205,1385,1700,2241,2429
12129,NA,Wakulla County,NA,979,1073,1199,1561,1588
12131,NA,Walton County,NA,1058,1244,1364,1897,2288
12133,NA,Washington County,NA,866,928,1017,1257,1603
13001,NA,Appling County,NA,765,770,973,1313,1608
13003,NA,Atkinson County,NA,755,760,973,1168,1395
13005,NA,Bacon County,NA,765,770,973,1353,1395
13007,NA,Baker County,NA,765,770,973,1353,1395
13009,NA,Baldwin County,NA,783,894,1073,1287,1476
13011,NA,Banks County,NA,765,770,973,1217,1395
13013,NA,Barrow County,NA,1585,1660,1820,2182,2605
13015,NA,Bartow County,NA,1585,1660,1820,2182,2605
13017,NA,Ben Hill County,NA,788,793,973,1167,1395
13019,NA,Berrien County,NA,737,742,973,1353,1632
13021,NA,Bibb County,NA,1085,1158,1307,1567,1731
13023,NA,Bleckley County,NA,737,742,973,1266,1395
13025,NA,Brantley County,NA,1035,1105,1293,1550,1906
13027,NA,Brooks County,NA,915,921,1192,1583,1915
13029,NA,Bryan County,NA,1455,1533,1680,2235,2547
13031,NA,Bulloch County,NA,812,898,1178,1433,1560
13033,NA,Burke County,NA,939,1114,1261,1627,1984
13035,NA,Butts County,NA,936,977,1075,1427,1803
13037,NA,Calhoun County,NA,765,770,973,1353,1474
13039,NA,Camden County,NA,1043,1117,1225,1704,1997
13043,NA,Candler County,NA,765,770,973,1353,1632
13045,NA,Carroll County,NA,1585,1660,1820,2182,2605
13047,NA,Catoosa County,NA,1211,1263,1390,1734,1853
13049,NA,Charlton County,NA,784,790,1036,1242,1485
13051,NA,Chatham County,NA,1455,1533,1680,2235,2547
13053,NA,Chattahoochee County,NA,895,939,1088,1445,1703
13055,NA,Chattooga County,NA,789,794,973,1353,1632
13057,NA,Cherokee County,NA,1585,1660,1820,2182,2605
13059,NA,Clarke County,NA,1159,1183,1331,1734,1831
13061,NA,Clay County,NA,765,770,973,1217,1395
13063,NA,Clayton County,NA,1585,1660,1820,2182,2605
13065,NA,Clinch County,NA,765,770,973,1353,1395
13067,NA,Cobb County,NA,1585,1660,1820,2182,2605
13069,NA,Coffee County,NA,675,885,973,1275,1610
13071,NA,Colquitt County,NA,737,742,973,1167,1591
13073,NA,Columbia County,NA,939,1114,1261,1627,1984
13075,NA,Cook County,NA,765,770,973,1315,1359
13077,NA,Coweta County,NA,1585,1660,1820,2182,2605
13079,NA,Crawford County,NA,1085,1158,1307,1567,1731
13081,NA,Crisp County,NA,780,785,973,1167,1288
13083,NA,Dade County,NA,1211,1263,1390,1734,1853
13085,NA,Dawson County,NA,1585,1660,1820,2182,2605
13087,NA,Decatur County,NA,848,850,973,1287,1288
13089,NA,DeKalb County,NA,1585,1660,1820,2182,2605
13091,NA,Dodge County,NA,737,742,973,1167,1288
13093,NA,Dooly County,NA,765,770,973,1283,1288
13095,NA,Dougherty County,NA,966,1006,1129,1534,1858
13097,NA,Douglas County,NA,1585,1660,1820,2182,2605
13099,NA,Early County,NA,782,888,973,1238,1340
13101,NA,Echols County,NA,915,921,1192,1583,1915
13103,NA,Effingham County,NA,1455,1533,1680,2235,2547
13105,NA,Elbert County,NA,831,836,1074,1288,1422
13107,NA,Emanuel County,NA,828,888,973,1239,1632
13109,NA,Evans County,NA,737,742,973,1167,1288
13111,NA,Fannin County,NA,737,742,973,1323,1328
13113,NA,Fayette County,NA,1585,1660,1820,2182,2605
13115,NA,Floyd County,NA,822,923,1192,1541,1626
13117,NA,Forsyth County,NA,1585,1660,1820,2182,2605
13119,NA,Franklin County,NA,770,775,1017,1219,1458
13121,NA,Fulton County,NA,1585,1660,1820,2182,2605
13123,NA,Gilmer County,NA,714,830,1036,1357,1738
13125,NA,Glascock County,NA,765,770,973,1217,1395
13127,NA,Glynn County,NA,1035,1105,1293,1550,1906
13129,NA,Gordon County,NA,703,833,1011,1406,1590
13131,NA,Grady County,NA,737,742,973,1343,1490
13133,NA,Greene County,NA,803,808,973,1320,1325
13135,NA,Gwinnett County,NA,1585,1660,1820,2182,2605
13137,NA,Habersham County,NA,850,855,1018,1357,1363
13139,NA,Hall County,NA,1177,1381,1514,1834,2127
13141,NA,Hancock County,NA,765,770,973,1252,1632
